Continent,Year,Temp
World,1961,0.211
World,1962,0.038
World,1963,0.168
World,1964,-0.246
World,1965,-0.223
World,1966,0.201
World,1967,-0.117
World,1968,-0.126
World,1969,-0.092
World,1970,0.15
World,1971,-0.093
World,1972,-0.199
World,1973,0.269
World,1974,-0.181
World,1975,0.088
World,1976,-0.314
World,1977,0.269
World,1978,0.001
World,1979,0.226
World,1980,0.332
World,1981,0.443
World,1982,0.086
World,1983,0.46
World,1984,0.127
World,1985,-0.031
World,1986,0.242
World,1987,0.403
World,1988,0.558
World,1989,0.331
World,1990,0.639
World,1991,0.468
World,1992,0.184
World,1993,0.348
World,1994,0.507
World,1995,0.835
World,1996,0.355
World,1997,0.656
World,1998,0.993
World,1999,0.783
World,2000,0.728
World,2001,0.834
World,2002,1.021
World,2003,0.893
World,2004,0.913
World,2005,1.095
World,2006,0.998
World,2007,1.195
World,2008,0.935
World,2009,0.957
World,2010,1.219
World,2011,0.921
World,2012,1.074
World,2013,1.016
World,2014,1.053
World,2015,1.412
World,2016,1.66
World,2017,1.429
World,2018,1.29
World,2019,1.444
World,2020,1.711
World,2021,1.447
World,2022,1.394
Africa,1961,-0.024
Africa,1962,-0.036
Africa,1963,0.07
Africa,1964,-0.146
Africa,1965,-0.196
Africa,1966,0.137
Africa,1967,-0.216
Africa,1968,-0.223
Africa,1969,0.357
Africa,1970,0.215
Africa,1971,-0.208
Africa,1972,-0.003
Africa,1973,0.372
Africa,1974,-0.232
Africa,1975,-0.225
Africa,1976,-0.249
Africa,1977,0.236
Africa,1978,0.084
Africa,1979,0.443
Africa,1980,0.367
Africa,1981,0.116
Africa,1982,0.235
Africa,1983,0.427
Africa,1984,0.353
Africa,1985,0.306
Africa,1986,0.295
Africa,1987,0.697
Africa,1988,0.618
Africa,1989,-0.007
Africa,1990,0.562
Africa,1991,0.387
Africa,1992,0.089
Africa,1993,0.383
Africa,1994,0.397
Africa,1995,0.55
Africa,1996,0.503
Africa,1997,0.564
Africa,1998,0.94
Africa,1999,0.635
Africa,2000,0.452
Africa,2001,0.648
Africa,2002,0.878
Africa,2003,0.989
Africa,2004,0.817
Africa,2005,1.055
Africa,2006,0.908
Africa,2007,0.784
Africa,2008,0.717
Africa,2009,0.953
Africa,2010,1.485
Africa,2011,0.914
Africa,2012,0.757
Africa,2013,0.999
Africa,2014,1.005
Africa,2015,1.184
Africa,2016,1.381
Africa,2017,1.17
Africa,2018,1.176
Africa,2019,1.284
Africa,2020,1.216
Africa,2021,1.407
Africa,2022,1.008
North America,1961,0.025
North America,1962,-0.057
North America,1963,0.375
North America,1964,-0.281
